Dimension 1,Dimension 2,prediction
84.62146,70.46892,90
84.579414,70.34051,90
111.44041,-11.269241,401
-64.62607,-51.524025,448
38.030746,-51.98366,-1
53.168327,-148.1612,-1
-29.361425,-107.259315,-1
141.38582,-8.921049,250
-25.392967,105.18772,-1
160.9092,-13.017627,248
-111.461365,-116.04373,13
103.91301,-129.71097,22
94.22395,-67.15937,299
105.345276,49.52425,209
-22.17068,105.84503,185
108.99883,65.22958,-1
111.08058,65.42546,203
55.866848,-113.87074,179
91.08119,-18.69501,296
89.18079,-22.062044,296
9.610127,-126.818405,344
86.8277,-18.259092,296
-59.12406,52.123966,253
-68.05583,46.212887,-1
-35.55268,-129.87848,-1
-41.174942,122.64055,110
99.52686,-60.921387,299
81.9867,-89.49045,-1
-29.820974,-66.76545,450
-56.755135,61.68907,253
101.11565,129.49283,226
86.48735,39.41378,393
95.19759,114.494194,-1
112.65562,34.398666,397
48.384666,90.837296,-1
133.6555,78.825584,61
-136.4838,84.56051,167
-136.03447,84.645805,167
150.95857,-53.594616,112
21.970236,-42.634323,391
-2.273906,94.4962,331
80.94005,110.99084,-1
58.797184,136.1591,53
-45.49712,-72.91263,407
-97.97172,-48.65806,-1
132.48692,1.2685509,249
-65.28267,-50.292294,448
-67.399,-12.973791,284
-112.68792,76.47259,147
-40.12057,13.118001,257
-39.859905,12.564197,257
-104.360916,-84.409164,200
38.746216,-166.74557,157
60.68162,-38.46143,439
72.05414,15.681616,-1
-52.246662,-35.70024,449
-57.90496,-92.14539,422
-66.86441,105.70706,-1
29.217613,58.57488,-1
-111.26834,-29.978182,92
26.789492,-166.8477,158
33.3287,-24.049158,468
70.55802,1.1406449,396
-3.2074966,-114.79582,-1
21.85271,6.447681,-1
-9.238864,-93.36963,355
93.14908,126.01356,213
-8.679493,-103.114944,354
-116.36439,55.443336,131
-18.077831,-36.909737,-1
128.44846,-64.30683,241
98.37287,23.238367,417
-57.808628,80.307556,-1
-127.16709,48.81806,177
51.506847,-29.318573,279
-34.18377,-117.187935,315
35.915073,32.286564,471
-40.85663,92.06789,130
43.096367,-21.943369,-1
49.576916,55.037754,386
-111.38342,-79.55046,199
144.746,98.132065,-1
20.166443,128.51154,334
4.6894236,10.875913,-1
-169.82715,62.804333,125
-20.412853,24.979143,-1
34.67069,69.85574,307
-19.737514,45.402187,266
-5.7089186,-179.59392,96
-69.084496,9.975714,273
