Dimension 1,Dimension 2,prediction
-67.85562,-44.56762,224
140.27182,66.18923,225
32.757267,-104.789894,-1
16.208612,76.752205,226
-31.753378,-115.203064,-1
-67.925514,-9.500285,-1
-85.7648,111.76244,1809
-48.48921,130.93083,227
-18.564758,5.5336514,228
-52.810715,-125.8641,229
-81.48127,-129.68274,230
-9.287036,179.7463,231
-158.01259,20.56786,-1
-68.910675,-98.70536,-1
-17.715782,-99.324936,232
-8.435638,-181.79935,233
132.814,-81.02704,-1
8.035282,-145.09195,234
8.864919,-143.79158,234
7.848052,-143.95268,234
-152.80489,20.506407,235
70.58403,-87.430824,236
70.66239,-85.96718,-1
70.64657,-87.34969,236
-113.66646,42.388912,3307
-69.63548,-12.092666,971
-139.89267,-37.39697,237
103.331116,-73.995766,238
102.816444,-73.51538,238
-132.72043,43.612057,-1
-132.68224,43.40322,-1
-70.13435,-121.735405,2327
-66.345146,-118.3682,239
-121.29675,94.26964,240
-30.341208,91.246605,-1
-29.745298,91.46121,241
-89.76212,17.563557,-1
-23.249132,156.01686,242
-95.671555,-72.467896,243
124.12276,73.06002,244
-55.637123,-39.457962,-1
-92.60325,15.416537,941
75.01449,-25.439373,-1
4.634945,-54.039284,245
-18.196068,41.43746,3891
64.98041,15.7098875,246
-140.73534,-59.679123,247
164.99025,4.5057735,248
48.453495,-163.57494,944
56.85604,-151.57898,249
-3.036448,95.56041,-1
88.45981,-50.061966,250
-140.92365,86.887794,-1
-139.15254,86.0165,251
63.21057,-88.03909,252
19.942709,-147.40645,253
20.289833,-146.1021,254
20.14386,-145.94408,254
-22.778673,153.33264,-1
-108.20946,42.2285,-1
142.87593,36.997334,255
-106.62393,-5.7749553,256
42.616463,41.544235,-1
78.58535,72.24992,257
55.460125,53.084167,-1
57.72701,71.2725,-1
58.61224,76.526505,-1
-166.21628,70.15385,258
-117.56206,94.42193,-1
-65.84172,55.977512,259
-138.40639,-37.031868,-1
-135.01656,-23.04717,260
43.872013,-62.896484,261
-88.95151,14.159942,75
46.482353,90.45441,-1
110.986084,31.32704,262
44.249977,162.13358,263
-140.05708,87.324684,264
-0.06950051,-26.805027,265
-31.14913,-79.08397,266
87.05213,126.8952,267
87.112236,126.668015,267
84.4155,-21.411259,268
105.28541,-53.435,269
47.731285,-40.54723,270
57.6122,115.57079,271
-0.8244529,162.19023,272
-7.6580124,-138.96182,273
4.218771,-2.4594986,274
3.8202212,-2.2014008,274
65.711395,39.77689,3685
-79.91494,143.05632,275
30.460415,-112.5976,-1
-1.6888407,-80.435394,276
-9.798473,158.2715,277
99.23147,42.567165,-1
42.048195,-165.12233,-1
81.019875,130.60913,278
-106.97609,95.77935,279
-107.39942,94.86542,-1
-126.97248,60.41987,-1
-5.632997,-84.00872,280
-118.848045,-64.05005,281
27.823074,26.427237,282
27.869024,26.552343,282
112.84378,3.7804549,-1
133.82173,-69.08279,-1
58.3039,-130.5835,283
169.19598,-4.2381477,284
40.000988,-35.96281,-1
-29.407896,-26.398926,285
-80.436935,-115.46079,33
154.04929,-1.4203664,286
-2.671485,-35.504898,287
108.8523,71.121025,288
63.709484,-66.16847,2614
62.814182,-2.1313934,289
63.058533,-2.5948706,289
-44.64707,-41.30569,290
133.85876,61.426888,291
-39.18521,-76.77829,-1
106.946686,111.117485,292
11.985507,-126.65327,293
29.165457,84.72475,-1
173.69824,24.022226,294
55.21002,-129.07893,295
-14.851424,52.48518,296
77.71992,-65.57996,970
-13.2796545,-127.88515,297
13.102554,10.934744,-1
21.419254,83.8592,298
-79.56644,75.81877,299
-40.197952,-91.688644,-1
-80.31909,76.96303,299
8.875553,37.530266,-1
180.06241,10.051363,300
-36.8379,36.620907,3925
66.335266,-114.91176,301
-33.795525,114.673965,-1
-162.79852,90.78097,302
32.199825,143.96605,303
-124.62408,32.835873,304
-109.41529,30.382053,305
-109.94598,28.745285,3218
-156.08342,87.83061,306
-135.56471,-48.355038,-1
-90.65454,-72.08331,307
-78.77882,-54.510246,3263
-141.37054,49.93916,308
-68.331764,-127.55349,-1
66.18431,-7.244924,309
-67.24291,118.03357,310
3.1565573,101.04137,311
-135.24995,51.625015,312
92.506454,-49.599953,313
-91.16176,141.52365,-1
50.584667,-8.753876,314
-78.50966,-126.254715,-1
-184.28564,25.979227,315
-184.64703,26.135275,315
-183.9253,26.65575,315
55.39869,-54.575035,316
55.31281,-54.58772,316
19.086275,-81.239624,317
-108.0431,-78.77054,318
-169.64288,39.525448,319
-178.20772,-20.19059,2154
-101.741745,-16.300995,320
75.037796,-78.34154,321
-10.209451,64.9418,322
-10.163909,65.014496,322
89.70818,-28.404251,323
26.44861,70.30265,324
-88.43557,-114.057144,2887
-61.280518,2.1127958,325
69.7526,-136.3805,3890
-25.748112,-88.0624,-1
87.55567,-115.550735,-1
96.75441,120.1933,326
-159.8249,47.411583,327
-65.42811,3.5747008,328
-105.6222,-55.259766,1344
25.849636,-68.495705,404
-118.91939,-9.924049,329
86.76517,114.51468,330
71.77226,-25.741156,331
26.88115,-21.759733,332
42.23987,31.554289,333
42.373383,31.59429,333
70.44243,-65.3672,334
107.93224,-58.521194,335
95.413,-24.256208,-1
104.36439,20.995443,-1
66.6041,69.02228,336
67.76385,69.07326,-1
136.7388,-28.362293,-1
-83.966324,64.82176,-1
-81.13768,67.290504,337
-80.90092,67.25567,337
35.09372,72.197,338
48.656006,20.376598,-1
48.542797,20.34473,-1
-90.509865,40.938732,339
-122.61943,-3.6942308,340
-3.9128036,-171.81265,341
-50.232346,-62.440296,-1
8.5323715,135.58603,342
-44.297417,123.67313,-1
77.54431,-85.10151,343
-22.289635,155.45224,242
-89.48344,-27.784967,344
133.90305,-82.44018,345
-79.23002,-128.23058,346
-149.3262,50.92172,-1
-122.8979,58.6301,-1
85.18119,142.6004,-1
-77.72737,-1.2180399,347
-100.08992,-13.000432,-1
140.52472,73.20139,348
140.30591,73.27805,348
-9.603423,-42.999187,163
-108.4609,-26.340366,86
24.99913,42.593403,-1
-64.11555,-108.40348,349
